County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Ouachita,AR,24,375,13.7,"23,889","18,975",6.2,12.9,13.6,10.5,12.8,15.8,11.8,8.4,8,58.6,40.2,0.4,0.2,0,1.1,90.2
Perry,AR,2,96,9.2,"23,896","6,859",5.5,13.1,13.3,12,14.4,14.4,12.2,8.3,6.9,96.3,2,0.1,0.9,0,1.3,99.4
Phillips,AR,25,327,13.4,"21,196","15,420",8.8,17,15.3,9.8,11,13.2,10.9,7.7,6.4,37.3,61.4,0.5,0.2,0,1.5,85.3
Pike,AR,7,162,14.7,"23,989","7,653",5.8,12.9,13.2,11.2,13.2,13.8,12.2,9.3,8.4,94.2,3.9,0.2,0.8,0,5,97.8
Poinsett,AR,9,330,13.1,"20,740","16,674",6.8,13.7,13.1,13.1,13.6,13.8,11.8,7.9,6.2,91.8,7.4,0.2,0.2,0,1.8,95.2
Polk,AR,28,241,12,"21,390","13,505",6.3,13.3,13.1,10.9,12.9,13.2,12.5,9.6,8.2,96.5,0.3,0.3,1.5,0.1,3.8,96.5
Pope,AR,97,482,8.6,"24,983","34,297",6.4,12.9,17.4,12.8,13.8,13.3,10.4,7.1,5.9,94.4,3,0.8,0.6,0,3.8,97.8
Prairie,AR,4,127,13.9,"20,444","6,550",5.6,11.8,12.1,11.4,13.3,15,13.2,9.3,8.4,84.8,14.5,0.2,0.4,0,0.9,97
Pulaski,AR,"2,578","3,240",8.9,"37,279","235,921",7.7,13.4,13,13.8,14.5,15,10.8,6.4,5.4,62.5,34,1.6,0.4,0.1,3.2,92.3
Randolph,AR,20,205,11.1,"19,341","12,207",5.6,12.4,14,12.1,13.1,13.7,12,9,8.3,97.4,1.2,0.1,0.6,0,1.3,97.2
St. Francis,AR,24,290,10.3,"19,999","18,173",7.9,14.6,13.9,13.8,13.6,14.2,10.5,6.3,5.2,48.2,50.5,0.7,0.3,0,5.2,105.9
Saline,AR,92,728,8.2,"28,832","55,796",5.5,13.3,13.5,13.5,15.2,14.5,11.4,7.9,5.2,94.8,3.2,0.6,0.5,0,2,99.3
Scott,AR,4,129,11.7,"21,724","7,141",6.5,13.8,12.8,12.5,13.6,13.2,12.5,8.9,6.3,95.4,0.5,2,1.2,0,7,100.4
Searcy,AR,5,97,12.2,"18,448","5,792",4.6,11.2,12.9,9.8,12.9,14.7,14.1,10.8,9,98,0.2,0.2,0.8,0,1.1,98.2
Sebastian,AR,418,"1,171",10,"31,820","74,601",7.6,14,12.8,13.3,14.4,14.3,10.8,6.9,5.9,85.8,6.3,3.7,1.6,0.1,9.8,96
Sevier,AR,17,162,10.1,"22,274","9,828",9,15.4,13.5,13.8,13.6,12,10.1,7,5.6,92.4,4.4,0.2,2,0.1,26.6,99.3
Sharp,AR,11,236,13.5,"19,631","12,294",4.7,11.8,11.5,10.7,12.4,12.9,13.1,11.8,11,97,0.9,0.2,0.6,0,1.4,92.2
Stone,AR,11,142,12.2,"21,152","8,119",5.1,11.4,12.2,10.5,12.2,14.5,14.3,11.5,8.3,97.7,0.3,0,0.4,0,1.2,96.9
Union,AR,99,530,11.9,"32,467","29,986",6.5,13.2,13.1,11.4,13.7,15.1,11.2,7.7,8.1,65.3,33,0.6,0.2,0,1.7,91.9
Van Buren,AR,12,214,13,"20,940","11,602",5.1,11.2,12,10.8,11.6,13.5,12.7,11.6,11.5,97.1,0.5,0.3,0.8,0,1.4,96.7
Washington,AR,464,"1,260",7.2,"27,486","94,019",7.9,13.4,18,16.2,13.8,12.3,9,5.3,4.2,91.2,2.7,2,1.4,0.7,12.4,101.7
White,AR,111,725,10.3,"22,210","42,366",6.3,12.7,17.2,13,13.8,12.8,10.5,7.4,6.3,93.8,4,0.4,0.5,0.1,2.6,95.7
Woodruff,AR,4,132,16.2,"18,451","5,716",5.9,13.7,12.6,11.5,12.3,14.8,12.9,8.1,8.1,70.4,28.7,0.1,0.2,0.1,0.9,90.7
Yell,AR,21,255,12,"22,729","13,659",7.5,13.3,13.4,13.1,13.9,13.5,10.7,8,6.6,95.4,1.5,1.3,0.7,0,17.2,101.7
Alameda,CA,"4,720","9,271",6.4,"42,956","953,716",7.4,13.7,12.7,14.1,16.4,15,10.3,5.4,5.1,56.9,13.8,24.2,0.7,0.7,20.8,96.9
Alpine,CA,2,9,7.5,"34,093",797,5.2,9,14.4,13.4,13.5,19.9,12.9,8.3,3.5,80.1,0.7,0.4,18.6,0,8.6,111.1
Amador,CA,78,359,9.5,"29,689","25,549",3.8,9.8,13,13.1,14.4,15.4,13,8.9,8.8,91.2,4.1,1.4,1.6,0.1,9.5,120.1
Butte,CA,503,"2,178",10.2,"27,136","126,736",5.5,12.5,19.2,13,11.6,13.3,10.1,6.6,8.3,89.2,1.6,4.1,1.9,0.2,11.8,96.4
Calaveras,CA,54,420,9.2,"28,572","29,201",3.8,11.3,12.7,11.5,12.4,16.3,14.6,9.7,7.5,93.6,1,1.2,1.7,0.1,8.7,98.4
Colusa,CA,15,141,6.9,"25,559","10,912",8,15.7,16.4,12.7,12.7,12.8,8.7,6.6,6.5,93.5,1,1.7,2.4,0.7,49.1,103.7
Contra Costa,CA,"2,981","6,791",6.7,"48,618","625,641",6.7,14.7,13.1,12.2,15.3,15.4,11.2,5.9,5.6,72.7,9.6,13.1,0.7,0.4,21.1,96.2
Del Norte,CA,53,261,9.2,"21,482","18,459",5.2,12.4,14.8,15.6,15.4,14.1,9.9,6.4,6.3,83.3,4.6,2.9,6.1,0,15,121.2
El Dorado,CA,364,"1,235",7.2,"40,906","105,034",5.1,13,14,11.9,14.4,17.6,12.3,6.4,5.3,92.5,0.9,3,1,0.2,10.4,99.9
Fresno,CA,"1,902","5,812",6.7,"25,961","455,540",8.6,17,16.6,14.2,13.5,12.2,8.2,4.8,4.8,81.4,5.7,8.8,1.9,0.2,46.9,101.1
Glenn,CA,11,246,9,"22,561","16,099",7.6,15.8,16,12.3,13.4,12.8,9.8,6.1,6.3,92.5,0.9,2.9,2.2,0.1,32.5,100.9
Humboldt,CA,329,"1,253",9.8,"27,932","81,501",5.6,11.8,17,14.4,12,15.3,11.4,6.1,6.4,87.5,1.1,1.9,5.4,0.2,7.6,97.1
Imperial,CA,143,869,5.7,"21,899","83,632",9.1,15.8,17.5,13.4,14.2,12.1,7.6,5.2,5.1,90.6,4.2,2.3,1.9,0.3,75.3,107.5
Inyo,CA,49,219,12,"29,793","12,566",5.2,12.1,12.8,10.2,11.6,17.2,12.8,8.7,9.5,86.2,0.4,1.3,10,0,15.9,95.3
Kern,CA,"1,174","5,251",7.2,"24,999","383,667",8.5,17,16.2,15.2,14.1,12.3,7.8,4.7,4.1,85.8,6.2,3.9,1.7,0.3,44.1,106.1
Kings,CA,141,760,5.3,"21,536","77,095",8.2,15.5,16.6,18.4,16.2,11.2,6.5,4,3.4,84.3,8.5,3.3,2,0.3,47,134.8
Lake,CA,92,780,12.1,"27,225","40,717",5.3,12.7,13.4,11.8,13,15.1,12.7,8,8.1,90.9,2.2,1.1,3.1,0.2,14.7,97.1
Lassen,CA,47,227,6.6,"21,465","22,963",4,11.1,16.8,18.4,17.3,14.1,9.4,4.6,4.3,84.3,9.5,0.9,3.1,0.5,15,168.7
Los Angeles,CA,"30,102","59,174",6,"34,426","5,882,948",7.6,15.4,14.4,14.6,15.6,13.4,8.9,5.2,4.9,74.1,9.7,13.1,1.1,0.3,46.8,97.8
Madera,CA,159,914,6.6,"22,198","74,830",8,15.4,15.5,15.4,13.9,12.3,8.7,5.6,5.1,88.6,4.4,1.7,3.1,0.4,48.4,93.2
Marin,CA,"1,700","1,722",7,"75,884","183,694",5.7,11.1,10.1,9.8,15.7,17.9,15.2,7.4,7.2,88.7,3.1,5.3,0.6,0.2,12.6,98.4
Mariposa,CA,18,156,8.7,"26,366","12,196",4,10.6,14.7,10.6,13,16.4,13.4,9.3,8.1,92.3,1.1,1,3.1,0.1,9.6,102.7
Mendocino,CA,242,853,9.6,"29,117","56,886",6.1,12.9,14,11.6,12.3,15.9,13.4,6.8,6.8,90.3,0.8,1.4,4.8,0.3,19.4,100
Merced,CA,257,"1,383",5.8,"22,862","116,725",8.8,18.3,16.8,14.5,13.7,11.5,7.6,4.8,4.1,85.4,4.1,6.6,1.6,0.2,51.4,101.5
Modoc,CA,11,102,10.6,"25,836","6,464",4.2,12.6,14.1,9.9,12.3,14.8,13.9,9.8,8.5,92.9,0.8,0.7,4,0,12,102
Mono,CA,33,45,3.5,"38,975","8,674",5.6,12.1,13,15.8,15.5,18.4,11.5,5.5,2.6,94.6,0.6,1.4,2.5,0,22.6,122.1
Monterey,CA,967,"2,372",5.7,"35,775","244,128",8.7,15.2,15.5,15.1,14.1,12.9,8.6,4.9,5,85.5,3.8,6.5,1.3,0.6,50.8,108.4
Napa,CA,556,"1,264",9.5,"43,669","83,938",6.2,13,13.3,12.9,13.9,14.7,11.5,6.9,7.6,89.3,2,5.2,1,0.4,27.6,100.5
Nevada,CA,292,916,9.4,"37,105","65,148",4.2,11.2,13.3,10.2,12.3,17.5,14.4,8.4,8.5,95.6,0.4,1,0.9,0.1,6.8,98.4
Orange,CA,"9,663","16,752",5.6,"44,453","1,813,456",7.5,15.1,13.4,13.9,16.1,13.9,9.7,5.5,5,78.9,1.9,15.9,0.9,0.4,32.5,99.6
Placer,CA,919,"2,284",7.5,"41,248","165,894",5.7,13.1,13.2,13.9,15,14.7,10.4,7.1,6.9,90.2,1.3,4.6,0.9,0.2,10.7,97.2
Plumas,CA,39,224,10.5,"31,739","14,786",4,10.9,13.1,9.8,11.5,16.9,15.3,9.9,8.5,94.1,0.8,0.7,2.4,0,6,99
Riverside,CA,"2,809","13,644",7.3,"27,167","936,024",7.4,16.1,15.3,15.5,14.6,12,7.7,5.5,6,84.5,6.5,4.8,1.4,0.4,41,100
Sacramento,CA,"3,942","9,637",7.1,"34,014","772,488",7.5,15.3,14,14.9,14.9,13.6,9.1,5.5,5.4,70,10.5,13.2,1.1,0.7,18.7,96.4
San Benito,CA,49,251,4.5,"30,862","31,401",8,17.5,15.1,12.6,15.5,13.9,9.2,4.4,3.8,91.7,1.4,3.1,1.6,0.5,50.6,103
San Bernardino,CA,"3,601","11,912",6.2,"26,074","983,273",8,17.4,16.3,15.1,14.7,12.7,7.8,4.4,3.7,80.6,9.5,5.6,1.4,0.4,44.8,100.6
San Diego,CA,"10,262","19,712",6.7,"40,569","1,773,327",7.6,14.1,15.3,14.8,15,13.4,8.8,5.3,5.7,79.8,5.6,10.2,1,0.6,29.5,101.9
San Francisco,CA,"6,231","5,908",7.9,"62,614","595,805",5.4,7.2,9.4,18.5,19.4,14.7,10.6,7,7.8,56.6,7.3,32.9,0.5,0.4,13.7,102.9
San Joaquin,CA,"1,049","4,433",6.8,"26,071","333,572",8,16.5,15.7,14.8,14.2,12.6,8.5,4.9,4.8,73,7.9,13.8,1.3,0.5,34.7,100.4
San Luis Obispo,CA,844,"1,996",7.8,"34,305","159,196",4.9,11.1,18.6,12.1,12.9,15.3,10.7,6.7,7.6,91.3,2.1,3.1,1.1,0.1,17.8,105.6
San Mateo,CA,"3,040","4,573",6.6,"59,213","490,285",7.1,12.7,11.1,12.3,16.5,15.7,11.6,6.4,6.5,68.5,3.4,23.4,0.5,1.4,22.6,98.1
Santa Barbara,CA,"1,338","2,899",7.2,"40,486","246,729",7.1,13.4,17.7,13,13.4,13.3,9.3,6,6.8,89.1,2.3,4.6,1.6,0.3,37.3,100.7
Santa Clara,CA,"6,690","8,472",5,"51,112","1,113,058",7.8,13.6,12.2,14.5,17.1,14.5,9.9,5.6,4.8,63.2,2.8,30.2,0.8,0.4,24.9,103.8
Santa Cruz,CA,756,"1,579",6.3,"42,643","164,999",6.7,12.2,16.3,12,14.5,16.5,11.5,5,5.2,90.9,1.2,4,1.2,0.2,27.8,100.3
Shasta,CA,516,"1,887",10.6,"29,104","107,272",5.6,13.1,14.3,12.4,12.9,14.7,11.9,7.6,7.6,90.9,1,2.2,2.6,0.1,7.2,95.7
Sierra,CA,0,37,10.6,"25,926","2,540",3.8,11.7,13.9,8.4,12.3,17.7,15.1,9.3,7.7,96.9,0.3,0.1,1.8,0,8.4,101.8
Siskiyou,CA,90,500,11.1,"26,874","30,682",5.1,11.6,14.1,9.3,11.2,16.4,14.2,9,9.1,90.7,1.4,1.3,3.7,0.1,9,96.7
Solano,CA,875,"2,591",6.3,"33,494","246,488",7.2,15.5,14.4,13.2,14.9,14.7,9.7,5.4,4.8,64,15.3,14.1,0.9,0.9,21.2,101.3
Sonoma,CA,"1,487","3,621",7.7,"40,451","306,564",6.2,13.1,14.1,11.7,14.3,16.1,12,5.9,6.7,90.2,1.6,3.8,1.4,0.3,21.1,97.7
Stanislaus,CA,904,"3,474",7,"26,810","264,578",7.9,16.6,15.6,14.5,14.1,12.8,8.5,5.1,4.8,87.1,3.1,5,1.5,0.5,37.6,98.2
Sutter,CA,195,687,7.9,"27,548","49,071",7.4,15.1,14.7,14.3,13.9,12.8,9.6,6.7,5.5,80.9,2.3,12.5,1.6,0.2,25.7,99.3
Tehama,CA,74,593,9.9,"22,420","36,261",6.1,14.1,14.8,12.3,13.4,13.5,10.7,7.8,7.3,93.8,0.8,0.9,2.1,0.1,18.8,97.6
Trinity,CA,15,157,11.5,"23,377","9,433",4.1,11,13.2,9,11.7,17.6,16.1,9.7,7.6,90.4,0.5,0.8,4.5,0.1,4.8,104.9
Tulare,CA,520,"2,637",6.6,"23,517","204,888",9.4,17.8,16.5,14.3,13,11.7,8.1,4.8,4.5,90.9,1.9,3.6,1.9,0.3,55.2,100.8
Tuolumne,CA,138,607,10.7,"29,218","38,977",3.9,10,13.7,12.9,13.6,15.7,12.6,9,8.7,91.8,3.1,0.9,1.8,0.2,10.1,119.8
Ventura,CA,"1,926","4,852",6.1,"40,358","471,756",7.4,15.3,14.1,12.6,15,14.7,10.1,5.6,5.1,87.9,2.1,6.3,1.2,0.3,36,100.2
Yolo,CA,725,"1,105",6,"31,041","95,423",6.5,13.3,22.9,14.7,12.7,12.1,8.2,4.8,4.7,80.7,2.6,11.7,1.4,0.4,27.5,95.2
Yuba,CA,74,518,8,"23,022","35,218",8.7,16.5,16.1,15.4,13.4,12.2,8.2,5.1,4.4,82.6,3,7.6,2.4,0.2,21.2,101.2
Adams,CO,363,"2,122",5.5,"29,001","223,094",8.6,16,13.8,18.3,15.6,12.5,7.9,4.2,3,89.8,3.2,3.4,1.4,0.2,35,104.3
Alamosa,CO,35,86,5.7,"24,985","8,567",7.8,14.3,21.4,12.5,11.7,12.9,9,5.8,4.8,92.5,1.7,1.1,3,0.4,43.6,99.6
Arapahoe,CO,"1,682","2,901",5.6,"47,039","316,560",7.4,14.4,13.4,15,15.3,15.2,9.8,5.1,4.3,82.4,9.6,4.7,0.8,0.1,16.2,98.1
Archuleta,CO,20,58,5,"22,715","6,821",5.3,11.9,13.3,13.3,12.9,16.5,13.5,8.2,5,96.5,0.4,0.5,1.6,0,15.3,101.3
Baca,CO,6,50,12.1,"28,054","3,152",4,12.8,12.3,8.5,10.8,15.6,11.9,10.3,14,97.9,0,0.3,0.8,0.1,9.3,95.5
Bent,CO,2,54,9.6,"20,518","4,037",5.5,12.3,15.4,14.1,14.6,13.2,10.5,7.7,6.7,91.8,4.1,1,2.8,0,30.8,126
Boulder,CO,"1,067","1,379",4.9,"45,849","186,126",6.2,12.1,16.9,15.4,15.2,15.7,9.7,4.8,3.9,92.9,1.1,3.7,0.7,0.1,12.7,103.1
Broomfield,CO,66,204,4.8,"35,743",(NA),7.1,15.6,13.6,15,17.5,15.7,8.6,4,2.8,92.1,1.2,4.5,0.6,0,10.4,101.6
Chaffee,CO,38,134,7.9,"25,166","11,837",4.3,9.9,12.8,13.5,13.1,15.4,12.8,9.5,8.7,96.1,1.7,0.5,1,0,8.6,112.4
Cheyenne,CO,3,13,6.5,"34,577","1,431",4.9,14.2,16.1,6.5,13.4,18.1,10.1,7.2,9.7,98.3,0.6,0.2,1,0,9,97.3
Clear Creek,CO,5,50,5.5,"48,150","6,702",5.5,12,10.4,12.9,16,21.5,14.7,4.8,2.2,97.3,0.4,0.7,0.9,0,4.2,107
Conejos,CO,6,67,8,"18,875","4,979",6.9,16.2,17.4,9.7,11.6,13.5,9,7.6,8.1,97,0.3,0.3,2,0.2,55.9,97.1
Costilla,CO,3,41,11.5,"22,158","2,506",5.5,11.8,13.5,8.6,12,15.9,13.8,10.1,8.8,93.3,1.1,1.1,3.4,0.6,63,96.3
Crowley,CO,2,54,9.9,"18,661","3,897",4.2,9.8,15.1,17.6,20.7,14.3,8.1,4.9,5.5,88.7,7.3,0.9,2.7,0,23.4,200.9
Custer,CO,7,25,6.6,"26,309","2,548",4.1,11.5,11.1,11,12.8,16.8,15.1,11,6.5,97.9,0.4,0.4,0.8,0,3.2,102.6
Delta,CO,48,282,9.5,"23,612","19,330",5.4,12.4,12.9,11.9,11.9,14.1,11.9,9.6,9.8,97.1,0.6,0.4,0.9,0,12.6,99.6
Denver,CO,"3,912","4,365",7.9,"47,652","374,478",9.2,12.1,11.5,18.6,16,12.8,8.9,5,5.9,82.9,10.6,3.1,1.4,0.2,34.7,103.4
Dolores,CO,2,19,10.5,"26,535","1,323",6.6,11.4,11.4,11.8,12.9,16.7,12.1,8.9,8.2,96.4,0.1,0.5,2.8,0,6.8,105.3
Douglas,CO,423,579,2.4,"43,919","112,436",8.1,16.7,12.6,16.6,18.5,14.5,8.3,3,1.8,92.8,1.5,3.5,0.5,0.1,6.5,100.2
Eagle,CO,158,89,1.9,"44,200","27,178",8.3,12.2,11.7,22.7,18.4,14.9,8.1,2.6,1.2,97.3,0.6,0.9,0.6,0.1,26.9,120.8
Elbert,CO,2,96,4.3,"36,692","12,814",5.3,14.9,14.2,11.2,16.4,19.8,11.1,4.6,2.5,96.4,0.7,0.6,0.8,0.1,5.2,101
El Paso,CO,"1,360","3,179",5.7,"33,577","320,420",7.7,15,14.9,15.5,15.2,13.9,8.7,5,4.1,85.8,6.7,2.8,1,0.3,12.7,100.5
Fremont,CO,51,482,10.2,"21,231","33,214",4.4,10.8,12.9,15.8,16.5,14.3,10,7.7,7.5,91.3,5.3,0.6,1.3,0.1,10.5,132.1
Garfield,CO,97,276,5.7,"31,460","27,884",8.5,14.3,13.2,15.9,15.3,15,9.2,4.8,3.9,96.9,0.7,0.5,0.7,0.1,22.6,105.9
Gilpin,CO,2,20,4.1,"36,826","3,501",5.6,10.6,10.6,14.6,17.9,21,12.9,4.3,2.6,96.4,0.9,1.3,0.6,0,4.6,108.9
Grand,CO,18,60,4.5,"33,672","8,571",5.9,11,11.5,17.1,15.9,18.3,11.6,5.5,3.2,97.5,0.6,0.8,0.6,0.1,5,112.5
Gunnison,CO,28,64,4.5,"29,972","8,504",5.9,9,22.1,19.1,13.9,13.5,8.9,4.5,3.1,96.8,0.6,0.7,1,0,5.8,115.4
Hinsdale,CO,4,2,2.5,"28,370",593,4.1,11.5,7.7,8.2,13.3,19.9,18.6,10.6,6.1,97.9,0,0.5,1.6,0,1.6,100.8
Huerfano,CO,11,106,13.6,"20,146","5,647",5,10.2,13,11.8,13.3,15.5,12.7,9.2,9.5,91.9,3,0.5,3.3,0,34.8,115.8
Jackson,CO,2,12,8.1,"26,603","1,098",4.9,12.4,13,7,14.4,17.4,14.4,8.8,7.7,98.8,0.3,0.1,0.8,0,8.1,95.9
Jefferson,CO,"1,339","3,288",6.2,"42,709","351,579",6.1,13.7,13.3,11.9,15.4,17,11.5,6.2,5,93.8,1.1,2.5,0.9,0.1,12.8,99.5
Kiowa,CO,1,18,12.6,"32,990","1,085",5.9,12.9,12.3,10.1,11.5,15.4,10.9,9.5,11.5,97.7,0.6,0.1,1.5,0.1,3.2,94.8
Kit Carson,CO,4,74,9.6,"29,158","5,254",5.4,14.3,14.1,11.1,14.6,14.1,10.6,7.7,8.1,97,1.9,0.4,0.5,0,15.9,114.2
Lake,CO,5,36,4.7,"22,793","4,710",7.8,15.3,14.6,17.5,15.4,13.9,7.9,5,2.6,96.5,0.4,0.6,1.9,0.2,41.4,114.9
La Plata,CO,201,249,5.3,"33,807","27,973",5.2,11.2,18.2,14.7,13.1,16.2,10.8,5.7,4.8,91.4,0.6,0.6,5.8,0.1,10.4,103.6
Larimer,CO,694,"1,475",5.5,"34,323","156,426",6.2,12.5,17.9,15.7,13.7,14.6,9.3,5.3,4.9,94.9,0.9,1.8,0.7,0.1,9.5,100.7
Las Animas,CO,19,174,11.3,"24,509","10,279",5.8,12.7,14.5,11.1,12.1,14.5,12,8.1,9.3,94.5,0.6,0.6,2.7,0.4,41.4,96
Lincoln,CO,5,37,6.5,"19,688","4,214",5.3,12,14,12.1,16.7,15.6,9.3,7.6,7.5,92.1,5.6,0.9,1,0.1,10.3,135.4
Logan,CO,25,194,9.3,"27,634","13,074",6.2,13.4,15.8,13,13.6,14.3,9.5,7,7.1,96,2.3,0.5,0.8,0.1,12.6,114
Mesa,CO,377,"1,164",9.1,"28,854","76,358",6.2,12.9,14.7,14,12.7,14.2,9.9,7.4,7.9,96.3,0.7,0.6,0.9,0.1,11,96.7
Mineral,CO,2,6,6.4,"27,066",631,3.8,9.9,9.4,12.9,13.3,16,14.3,11.3,9.2,99.2,0,0,0.3,0,2,105.3
Moffat,CO,16,79,5.8,"29,133","8,404",7.4,14.2,14.3,13.4,14.2,16.8,10.5,5,4.1,97.3,0.4,0.4,0.9,0,12.7,108.7
Monte0.01uma,CO,53,253,10.3,"26,516","15,512",6.4,14.3,13.9,11.5,13,14.9,11.1,8.1,6.8,87,0.2,0.3,10.9,0.1,9.7,97.6
Montrose,CO,83,327,8.9,"27,402","22,089",6.4,14,13.2,12.9,12.9,13.9,10.8,8.2,7.7,96.3,0.6,0.6,1.3,0.1,16.8,97.2
Morgan,CO,32,226,8.1,"25,030","16,661",8,16.6,14.3,12,13.7,13.2,8.5,6.7,7,97.3,0.7,0.2,1,0.3,32.3,101.1
Otero,CO,30,220,11.2,"24,882","13,172",7.5,14.1,15.1,9.5,11.6,14,11,8.6,8.6,95.1,1.1,0.8,1.6,0.2,38.2,95.1
Ouray,CO,18,25,6,"35,283","2,741",4.1,11.7,11.9,10.1,13.3,19.1,16.5,8.1,5.1,97.9,0.1,0.4,0.8,0,3.8,99.2
Park,CO,10,66,3.9,"29,275","10,371",4.9,12.6,11.6,12.3,16.9,20.4,13,5.4,2.9,96.6,0.8,0.6,0.8,0,5.8,106.1
Phillips,CO,7,56,12.2,"25,492","2,999",6.8,15.3,13,9.9,12.5,14.9,9.3,8.3,9.9,97.9,0.3,0.4,0.7,0.1,18.7,94.9
Pitkin,CO,83,42,2.8,"77,970","11,322",5.2,8.1,8.9,16.8,18.4,18.4,14.9,6,3.3,97,0.7,1.5,0.3,0,7,115
Prowers,CO,16,114,8.1,"25,268","8,545",8.2,16.5,15.5,12.7,12.3,12.8,9.1,6.2,6.7,96.8,0.6,0.5,1.5,0.2,37.4,104
Pueblo,CO,416,"1,456",9.7,"25,634","92,080",6.6,14.1,14.4,13.8,13.3,13.5,9.5,7.1,7.7,93.7,2.2,0.7,1.9,0.2,39,96.5
Rio Blanco,CO,7,56,9.3,"32,993","3,857",6.3,12.1,17.5,10.1,13,17.1,11.4,7,5.5,97.8,0.2,0.4,0.9,0,5.8,101.9
Rio Grande,CO,13,115,9.3,"26,793","7,959",6.8,14.1,15,9.9,12.3,15.1,11.2,8,7.5,96.7,0.8,0.4,1.6,0.1,37.6,95.3
Routt,CO,78,67,3.2,"41,558","13,267",5.2,11.3,12.8,18.5,16.3,19.2,10.8,3.8,2.1,97.7,0.5,0.5,0.5,0.1,3.7,116.5
Saguache,CO,2,30,4.3,"17,999","3,760",6.6,14.7,15.2,12.7,13.3,15.6,11.9,5.4,4.5,96.4,0.2,0.5,2.2,0.1,45.7,102.1
San Juan,CO,0,4,6.9,"28,085",428,4.5,8.7,10.9,10.7,12.8,21.5,22.2,5.5,3.1,98.1,0,0.2,1.2,0.5,8.8,104.6
San Miguel,CO,20,12,1.7,"40,570","4,762",5.4,9.2,8.7,24.1,19.3,17.2,12.2,2.9,1.1,97.4,0.3,1,0.8,0.1,8.8,119.2
Sedgwick,CO,3,38,14.9,"27,641","1,938",5.7,13,10.6,10,11.8,14.7,11.1,11.3,11.7,98,0.6,0.9,0,0.2,13.7,99
Summit,CO,79,55,2.2,"36,796","15,795",6.8,8.8,10.3,29.1,18.2,14.3,7.8,3.3,1.3,97.1,0.9,0.9,0.4,0,13.1,138.7
Teller,CO,36,98,4.5,"33,379","14,240",5.2,12.8,13.5,10,15.3,20.5,13.5,6.3,2.9,95.8,1,0.7,1,0,4.5,103.5
Washington,CO,0,45,9.6,"27,260","3,314",4.9,13.7,13.5,9,12.3,15.9,11.5,8.8,10.3,98.9,0.1,0.1,0.7,0,7.5,101.8
Weld,CO,341,"1,242",5.6,"24,846","106,245",8,14.7,17,17.5,14.2,12.4,7.9,4.5,3.8,95.8,0.8,1,1,0.2,27.8,102.1
Yuma,CO,17,99,10.1,"27,783","6,340",6.9,14.8,14,11.4,12.4,14.1,10.3,7.7,8.4,99.1,0.2,0.1,0.3,0.1,18.5,96.7
Fairfield,CT,"3,686","6,680",7.4,"67,269","596,371",6.6,14.5,12,10.6,16.5,15.7,11.1,6.1,6.9,83.7,10.7,4.1,0.3,0.1,14,94.7
Hartford,CT,"3,765","7,800",8.9,"43,266","579,839",6,13.3,13.1,11.5,15.4,15.3,11.2,6.3,8,81.6,13.3,3.3,0.3,0.1,12.8,93
Litchfield,CT,448,"1,648",8.7,"41,722","127,305",5,12.8,12.2,10,15.9,17.2,12.4,6.5,7.9,96,1.4,1.4,0.2,0,3.2,95.7
MiddleseNA,CT,515,"1,286",7.9,"42,705","108,106",5.4,12.7,12.8,10.7,16.7,16.2,11.8,6.4,7.4,91.8,4.7,2.1,0.2,0.1,3.5,94.6
New Haven,CT,"4,497","7,842",9.3,"39,292","551,642",6,13.2,13.9,12.3,15.2,14.9,10.7,5.9,7.9,82.4,12.6,3.2,0.3,0.1,12,92.8
New London,CT,732,"2,216",8.3,"39,276","173,910",5.9,13.1,13.6,12.5,16.1,15.5,10.2,6.2,7,87.6,6,3.1,0.9,0.1,6.1,98.1
Tolland,CT,240,890,6.1,"36,674","87,202",4.9,11.7,19.7,11.6,15.4,15.4,10.8,5.2,5.3,92.6,3.4,2.7,0.2,0,3.4,100.6
Windham,CT,160,952,8.3,"30,889","71,242",5.7,12.8,15.3,13,15.6,15.3,10.3,5.5,6.3,94.7,2.3,1.1,0.5,0.1,7.6,97.2
Kent,DE,241,"1,156",8.3,"28,196","79,249",7,13.4,15.1,13.8,14.7,13.5,10,6.8,5.5,73.7,22,1.9,0.6,0.1,3.8,93.6
New Castle,DE,"1,708","4,156",8,"41,937","324,810",6.6,12.9,14.5,13.4,15.7,14.9,10.5,6,5.5,72.3,22.5,3.5,0.3,0.1,6.7,95.2
SusseNA,DE,376,"1,831",10.6,"29,959","110,599",5.9,11.1,11.3,12.5,13.6,13.9,12.2,10.4,9,83.5,14.1,0.8,0.6,0.1,5.8,96.3
District of Columbia,District of Columbia,"4,723","5,454",9.8,"52,811","384,535",7,10.5,12.4,19.8,14.8,13,10.3,6.2,6,38,57,3.1,0.3,0.1,8.6,90.2
Alachua,FL,"1,981","1,557",7,"30,435","123,524",5.6,10.4,26.5,14.5,11.3,12.4,9.1,5.6,4.6,73.7,20,4.4,0.3,0,6.4,95.2
