County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Logan,ND,0,27,12.9,"34,404","1,693",4.2,10.8,10.2,5.6,12.2,14.9,13.8,11.9,16.4,98.9,0.1,0.4,0.1,0,0.8,98
McHenry,ND,2,64,11.4,"26,803","4,192",4.8,10.2,11.2,8.9,12.3,18,13.2,9.3,12.1,99,0.2,0,0.5,0,0.9,101.7
McIntosh,ND,6,78,25.2,"30,635","2,580",3.3,8.7,10,5.2,10.9,15.1,12.1,13.7,21,99.2,0,0.4,0.1,0,1,91.1
McKen0.01ie,ND,3,55,10,"25,938","3,644",5,13.7,15,6.8,12.2,18.6,13.4,7.2,8,76.9,0.3,0.1,22,0.1,1.1,100.1
McLean,ND,6,116,13.2,"31,635","6,620",4,10.4,11.7,6.6,11.6,20,15.5,8.8,11.4,92.6,0,0.2,6.2,0,1.7,96.5
Mercer,ND,8,69,8.2,"33,206","5,780",4.1,11.5,14.2,6,14.3,22.2,12.8,7,8.1,95.9,0,0.3,2.6,0.4,0.6,101
Morton,ND,21,213,8.4,"27,815","16,520",5.6,12.6,12.7,12.3,14.1,16.9,11.2,6.8,7.7,95.1,0.2,0.5,2.9,0,1,98.9
Mountrail,ND,8,84,12.9,"28,350","4,309",6.6,13,13.6,10.2,11.1,16.3,12.3,7.8,9,66.9,0.2,0.3,31.7,0,2.6,97.5
Nelson,ND,4,64,18.6,"26,232","2,753",3.6,8.6,11.8,6.2,11.2,16.3,14.1,11.9,16.4,98.6,0.2,0.5,0.6,0,0.7,96.8
Oliver,ND,0,8,4.3,"31,868","1,402",4.6,11,13.3,4.1,12,23,18.2,6.5,7.4,97.2,0.2,0.1,2.1,0,0.8,108.2
Pembina,ND,6,90,11,"28,019","5,908",4.4,10.5,12.5,8.3,12.6,18.2,13.5,8.2,11.8,96.2,0.5,0.3,1.8,0,3.5,101.6
Pierce,ND,10,59,13.5,"24,165","3,300",5.4,11.1,9.7,7.3,13.5,16.9,11.6,10,14.6,97.7,0.3,0.4,1.4,0,0.8,95.3
Ramsey,ND,24,156,13.6,"28,996","8,123",5.9,11.9,12.4,8.9,13.8,16.9,12,7.5,10.8,90.2,0.4,0.5,7.5,0,0.8,99.3
Ransom,ND,10,86,14.8,"31,360","4,065",5.1,11.8,11,12,13.6,15.9,11.1,7.9,11.6,98.8,0.2,0.3,0.3,0,1.4,104.5
Renville,ND,2,34,13.8,"33,404","1,872",4.3,10.4,10.6,9.1,13.2,18.8,13.1,9.5,11.1,97.9,0.8,0.6,0.6,0,0.8,103.5
Richland,ND,23,142,8.1,"28,826","10,991",5.4,11.7,18.5,10.7,12.7,16.5,9.5,6.2,8.7,95.9,0.5,0.4,2.5,0,1.4,110.5
Rolette,ND,18,133,9.6,"21,361","7,406",9.8,16.2,16.5,11.5,13.6,13.5,9,5.2,4.7,25.1,0.1,0.5,72.8,0,0.9,95.5
Sargent,ND,0,24,5.8,"40,663","2,989",4.9,12.8,11,8.7,13.5,17.7,13.6,7.7,10,98.8,0.2,0,0.5,0,0.9,109.7
Sheridan,ND,0,11,7.5,"27,717","1,280",2.7,9,10,4,10.3,19.4,16.9,11.7,16.1,99.3,0.1,0,0.5,0,0.3,102.8
SiouNA,ND,3,26,6.3,"18,280","1,919",11.7,18.4,17.7,13.2,14.3,10.7,8,3.3,2.6,17.4,0.2,0,82.1,0,1.7,102.9
Slope,ND,0,4,5.5,"23,961",538,4.8,11.1,11.8,5.6,13.4,24.5,12.1,9.9,6.6,99.9,0,0,0.1,0,0,120.9
Stark,ND,36,199,9,"30,560","14,252",5.3,11.5,16.8,11.4,12.3,15.9,10.5,7.3,9,97.9,0.2,0.3,1,0,1.4,96.5
Steele,ND,0,21,10.2,"30,056","1,529",3,12.4,13.2,6.6,14.1,18.1,14.2,8.8,9.7,98.9,0.2,0,0.8,0,0.2,105.4
Stutsman,ND,37,253,12.1,"31,129","14,618",4.7,10.4,14.4,10.2,13.2,17.6,11.8,7.4,10.2,97.5,0.4,0.5,1.3,0,1.2,97.7
Towner,ND,5,39,15.1,"32,197","2,057",3.5,9.7,11.2,4.5,13.8,19.3,14.8,9.5,13.6,97.4,0.1,0.1,2.4,0,0.2,96.8
Traill,ND,9,110,13.2,"29,246","5,542",4.7,11.5,16,10.2,13,15.5,11.1,7.6,10.4,98.6,0.2,0.2,0.9,0,2.5,101.9
Walsh,ND,17,145,12.5,"28,687","8,530",5.3,11.4,11.8,8.3,13.5,17.3,12.7,8.1,11.5,97.7,0.4,0.2,1.3,0,7.7,99.3
